"id","Plate","Plate Rep","Genotype","Salt","Microbes","Row","Column","lon","lat","conc_corrected","BZT_percent_d","X10.FN","od600","od750","BZTalanine","glycosylatedBZT","BZTacetylalanine","aniline","amino_3_phenol","phenazine","methylBZT","methoxyBZT","km","density"
"15.2.B1",15,2,"Cmb","0.8","Yes","B",1,79.975472,43.493389,0.140889194267684,85.9110805732316,3,0.085,0.0775,0,7.10762827506323e-12,0,6.17774388393417e-12,1.70649330052046e-11,0,7.81374784217175e-12,8.71199854854312e-13,50.9720032175339,1443.29131846514
"16.1.A1",16,1,"Kls","0","Yes","A",1,79.945209,43.505815,0.149608027492213,85.0391972507787,9,0.068,0.057,0,1.16733857290642e-11,0,1.47630581416624e-12,0,3.33566606067505e-12,0,4.81257907168879e-12,48.1996629382861,2000.12417974685
"16.1.C1",16,1,"Kls","0","No","C",1,79.945209,43.505815,0.091725172371038,90.8274827628962,10,0.065,0.0545,6.26419753039164e-12,8.70581069976164e-12,8.86231147052003e-13,8.39416572916522e-12,1.53726898330762e-11,2.11062935811377e-12,1.32683187018228e-11,6.24500257680413e-13,48.1996629382861,2000.12417974685
"16.1.D1",16,1,"Kls","0.8","Yes","D",1,79.945209,43.505815,0.142016307821826,85.7983692178174,8,0.0545,0.046,6.14973122109172e-11,3.47387531419771e-12,0,1.17967704893682e-11,0,0,0,3.76471925489113e-13,48.1996629382861,2000.12417974685
"16.2.B1",16,2,"Kls","0.8","No","B",1,79.945209,43.505815,0.182922885828446,81.7077114171554,4,0.061,0.048,0,7.1839058458938e-12,0,2.43534065247896e-11,0,7.18558770016069e-12,4.36812403609752e-12,6.0623318481502e-13,48.1996629382861,2000.12417974685
"17.1.B4",17,1,"Cnp","0","Yes","B",4,78.934218,43.938637,0.0920848789293558,90.7915121070644,9,0.0455,0.0445,0,1.34041284478424e-11,0,5.01904226604224e-12,0,0,1.58912368655191e-11,2.42448316784533e-12,48.0741339060017,6404.05077211101
"17.1.C4",17,1,"Cnp","0","No","C",4,78.934218,43.938637,0.118151310877057,88.1848689122943,4,0.1985,0.174,0,9.66837529580361e-12,0,2.21948846437011e-12,0,0,5.67538331930659e-12,2.52121957282627e-12,48.0741339060017,6404.05077211101
"17.1.D4",17,1,"Cnp","0.8","Yes","D",4,78.934218,43.938637,0.0855048205584343,91.4495179441566,8,0.1095,0.1045,0,1.42886167289692e-11,0,4.12591352358872e-12,0,0,6.30736959529508e-12,9.70562356119046e-13,48.0741339060017,6404.05077211101
"17.2.C4",17,2,"Cnp","0.8","No","C",4,78.934218,43.938637,0.0880514197957412,91.1948580204259,4,0.055,0.0505,0,7.35486644848888e-12,0,7.74342792852305e-12,0,0,8.01884234616851e-12,6.29819319338781e-13,48.0741339060017,6404.05077211101
"18.1.C1",18,1,"Okb","0","No","C",1,79.439167,43.824444,0.265361896727619,73.4638103272381,4,0.056,0.052,1.07762827133187e-11,1.16569331129007e-11,0,6.73846574369248e-13,0,0,1.08433035304814e-11,6.01977831995826e-13,19.5870370721657,9343.00200719548
"18.1.C2",18,1,"Nnq","0","No","C",2,78.9723,44.17564,0.116425706955913,88.3574293044087,2,0.0425,0.0435,0,4.01293825850891e-12,0,6.30699304049136e-12,1.98339169815562e-11,0,1.18827005779881e-11,2.74403245445022e-12,66.8435025836837,1100.91342111077
"18.1.C5",18,1,"RdM","0","No","C",5,76.743675,44.769978,0.225888059873825,77.4111940126175,5,0.0565,0.0505,0,4.09928755977758e-12,0,7.83597885993966e-12,1.70003774068911e-11,0,6.79530551541966e-12,2.20363729052659e-12,244.544724180078,1120.51781113556
"18.2.B1",18,2,"Okb","0.8","No","B",1,79.439167,43.824444,0.161293619944611,83.8706380055389,5,0.0605,0.054,5.93836914181015e-12,1.28141175736074e-11,0,5.68339024673622e-12,0,0,6.64551019640678e-12,0,19.5870370721657,9343.00200719548
"18.2.B2",18,2,"Nnq","0.8","No","B",2,78.9723,44.17564,0.0787165687400445,92.1283431259955,1,0.0725,0.0745,0,0,0,3.7531187181328e-12,0,0,0,1.0258360955916e-12,66.8435025836837,1100.91342111077
"18.2.B5",18,2,"RdM","0.8","No","B",5,76.743675,44.769978,0.124690895647676,87.5309104352324,5,0.0565,0.0485,0,3.07436377025836e-12,1.78049325756279e-12,7.47253754769083e-12,1.1458793927968e-11,5.41112877605349e-12,7.26512983911715e-12,1.59945664656704e-12,244.544724180078,1120.51781113556
"18.2.C1",18,2,"Okb","0.8","Yes","C",1,79.439167,43.824444,0.137653554976733,86.2346445023267,0,0.07,0.056,0,5.09468795209039e-13,1.11333383209522e-12,1.48805663536113e-11,0,3.94915072027715e-12,4.6289718499212e-12,4.87736964499985e-13,19.5870370721657,9343.00200719548
"18.2.C2",18,2,"Nnq","0.8","Yes","C",2,78.9723,44.17564,0.0425261878290188,95.7473812170981,3,0.0645,0.0705,0,5.99370312962061e-13,0,2.92123090858574e-12,0,0,0,4.04698102212026e-13,66.8435025836837,1100.91342111077
"18.2.C5",18,2,"RdM","0.8","Yes","C",5,76.743675,44.769978,0.0940788344831371,90.5921165516863,3,0.0635,0.054,0,0,0,5.73847965138946e-13,0,4.32551095465508e-12,8.01884234616851e-12,9.80490663196237e-13,244.544724180078,1120.51781113556
"18.2.D1",18,2,"Okb","0","Yes","D",1,79.439167,43.824444,0.234068800368458,76.5931199631542,3,0.0535,0.0485,0,7.86746339403822e-12,0,7.98598835743594e-12,1.44103166210839e-11,0,5.26700292500881e-12,1.31218485921751e-12,19.5870370721657,9343.00200719548
"18.2.D2",18,2,"Nnq","0","Yes","D",2,78.9723,44.17564,0.0812036437857369,91.8796356214263,2,0.054,0.0545,0,0,0,7.42176701579716e-12,0,0,0,9.13353643269654e-13,66.8435025836837,1100.91342111077
"18.2.D5",18,2,"RdM","0","Yes","D",5,76.743675,44.769978,0.256317690994564,74.3682309005436,5,0.0555,0.0495,8.13276006912283e-12,4.6197706944215e-12,0,5.69961101588414e-12,1.64659783582838e-11,0,9.23571893456498e-12,2.36806089449427e-12,244.544724180078,1120.51781113556
"19.1.B1",19,1,"Mdv","0","Yes","B",1,79.7357,43.6211,0.118151310877057,88.1848689122943,4,0.0455,0.0415,0,3.60975681269021e-12,0,1.88603173711088e-11,0,0,2.0193752974549e-11,0,28.622945500481,8397.53878752376
"19.1.B5",19,1,"HBE","0","Yes","B",5,79.477222,43.620278,0.113863094642263,88.6136905357737,1,0.0415,0.041,5.59091054742598e-12,8.20177079458142e-13,0,5.74152798055364e-12,0,0,0,4.42115103640347e-12,8.41488677396755,6771.21563203706
"19.1.C1",19,1,"Mdv","0.8","No","C",1,79.7357,43.6211,0.123015732980043,87.6984267019957,2,0.054,0.045,6.45852106532131e-12,0,0,3.4507697022604e-11,0,0,4.3595206053477e-12,0,28.622945500481,8397.53878752376
"19.1.C5",19,1,"HBE","0.8","No","C",5,79.477222,43.620278,0.101119125972679,89.8880874027321,4,0.0795,0.0755,2.76059477055716e-11,4.57600916235642e-12,0,5.76449409247586e-12,0,7.56017459065997e-12,0,2.75803161309438e-12,8.41488677396755,6771.21563203706
"19.2.C1",19,2,"Mdv","0","No","C",1,79.7357,43.6211,0.0780219525864759,92.1978047413524,4,0.048,0.0425,0,0,7.22740575044682e-13,1.97467970979897e-11,0,0,1.67977377338859e-11,4.09138215014693e-13,28.622945500481,8397.53878752376
"19.2.C5",19,2,"HBE","0","No","C",5,79.477222,43.620278,0.0689201025368693,93.1079897463131,6,0.0435,0.044,1.28325406659241e-11,3.92421809238137e-12,0,2.92123090858574e-12,0,0,7.17812942359801e-12,3.84950569151377e-12,8.41488677396755,6771.21563203706
"19.2.D1",19,2,"Mdv","0.8","Yes","D",1,79.7357,43.6211,0.101122644289245,89.8877355710755,2,0.0625,0.053,0,5.11322796044875e-13,1.29811601018511e-12,4.11591658906169e-11,0,0,3.93603443172129e-11,4.55057914349303e-13,28.622945500481,8397.53878752376
"19.2.D5",19,2,"HBE","0.8","Yes","D",5,79.477222,43.620278,0.075193297464482,92.4806702535518,4,0.0405,0.039,5.55969586892911e-12,5.11973902637258e-12,0,4.0446243394359e-12,0,0,5.07763410463379e-12,1.1132351227269e-12,8.41488677396755,6771.21563203706
"2.1.B2",2,1,"RdM","0.8","Yes","B",2,76.743675,44.769978,0.109752699998084,89.0247300001916,9,0.0465,0.042,0,6.80956195848177e-12,0,1.37045855866857e-11,1.39585463035175e-11,4.23530957494133e-12,9.77430230165022e-12,1.55500708405094e-12,244.544724180078,1120.51781113556
"2.1.B3",2,1,"Kls","0.8","Yes","B",3,79.945209,43.505815,0.0921829514792045,90.7817048520795,6,0.1325,0.1125,0,8.32806940835226e-12,8.5229929515785e-13,1.02167800263465e-11,1.49605051831775e-11,0,0,1.11810061557274e-12,48.1996629382861,2000.12417974685
"2.1.B5",2,1,"Arb","0.8","Yes","B",5,79.7485,43.4353,0.0666136986983332,93.3386301301667,2,0.0515,0.045,7.60772930780364e-12,0,2.11065725976358e-12,1.49991366034409e-11,0,0,0,7.01874367490904e-13,38.1731833599356,7263.83274172874
